zip_code,Population Density (Per Sq. Mile),incomeBelowPovertyLevelProportion,incomePerCapita,incomeGiniIndex,underPoverty,popDensity,whiteMajority,eduHsOrLessProportion,eduHsProportion,eduBachOrBetterProportion,eduEnrollmentProportion,eduDropoutProportion,employedProportion,employedPvtSecProportion,employedPubSecProportion,employedSelfEmpProportion,employedPvtNonProProportion,employedUnpaidFamProportion,insuredProportion,housingRentMoreThan30pcProportion,longitude,latitude
17763,10.07019,0.06086956521739131,22644.0,0.3139,0,10.07019,0.908,0.12121212121212122,0.6515151515151515,0.22727272727272727,0.18,0.0,0.8888888888888888,0.6634615384615384,0.15384615384615385,0.019230769230769232,0.16346153846153846,0.0,0.948,0.0,,
17764,13.55867,0.22615648201027985,19059.0,0.4123,1,13.55867,0.9617511520737327,0.15709779179810726,0.7608832807570978,0.08201892744479496,0.18199233716475097,0.0,0.8948598130841121,0.6657963446475196,0.12010443864229765,0.04046997389033943,0.17101827676240208,0.0026109660574412533,0.9155326137963398,0.4306049822064057,,
17765,14.9693,0.12349397590361445,22672.0,0.4132,0,14.9693,0.9878738884397736,0.12315270935960591,0.7463054187192119,0.13054187192118227,0.23563696919233973,0.08196721311475409,0.9379194630872483,0.6779964221824687,0.1520572450805009,0.09838998211091235,0.07155635062611806,0.0,0.9587712206952304,0.3409090909090909,,
17768,10.99368,0.16423357664233576,24726.0,0.4448,0,10.99368,0.9256965944272446,0.17672413793103448,0.6810344827586207,0.14224137931034483,0.2120253164556962,0.2857142857142857,0.8187919463087249,0.5819672131147541,0.19672131147540983,0.20491803278688525,0.01639344262295082,0.0,0.8513931888544891,0.125,,
17771,14.87069,0.10071942446043165,28107.0,0.4239,0,14.87069,0.9906512932377688,0.1137137989778535,0.731686541737649,0.15459965928449745,0.20121755847484782,0.02666666666666667,0.9232221522970422,0.6966598500340832,0.11588275391956374,0.11179277436946149,0.0736196319018405,0.002044989775051125,0.9207982538197692,0.4228187919463087,,
17772,110.8045,0.08996897621509824,26989.0,0.4053,0,110.8045,0.9887730553327987,0.1522633744855967,0.7195767195767195,0.12815990593768373,0.23359471729261247,0.17796610169491525,0.965742251223491,0.6418918918918919,0.09375,0.17060810810810811,0.09121621621621621,0.002533783783783784,0.9261637239165329,0.40625,,
17774,28.42353,0.12990654205607477,24433.0,0.4085,0,28.42353,0.9756457564575646,0.1457286432160804,0.7125628140703517,0.14170854271356784,0.18759571209800918,0.0,0.9250374812593704,0.7341977309562399,0.11993517017828201,0.059967585089141004,0.08589951377633712,0.0,0.9365313653136531,0.3854166666666667,,
17776,3.222283,0.043824701195219126,27288.0,0.2857,0,3.222283,0.9432624113475178,0.12053571428571429,0.8080357142857143,0.07142857142857142,0.1371841155234657,0.0,0.9621212121212122,0.6929133858267716,0.09448818897637795,0.10236220472440945,0.11023622047244094,0.0,0.9397163120567376,0.2608695652173913,,
17777,199.0265,0.12046589018302829,24750.0,0.4126,0,199.0265,0.9800026663111585,0.1124397299903568,0.7089681774349084,0.17859209257473482,0.20030623608017817,0.256797583081571,0.9632352941176471,0.6769356597600873,0.10605234460196292,0.08342420937840785,0.13086150490730644,0.0027262813522355507,0.8846934632561916,0.3565121412803532,,
17801,244.0874,0.1322632919206729,24244.0,0.4389,0,244.0874,0.9591052729413223,0.15298126064735945,0.7257240204429302,0.12129471890971039,0.18920472692430534,0.11216216216216217,0.9485883368265319,0.7086041070964387,0.11229529503509228,0.06342604626982064,0.11528463737977646,0.0003899142188718482,0.933823995939344,0.39522437216961714,,
